Komunikat|ID|Kraj|Kod|Miasto|Ulica|NrDomu|NrLokalu|Wojewodztwo|Powiat|Gmina
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków (ID=4235931),Ulica:  (ID=12449536),Numer budynku: 3,Liczba znalezionych kodów: 0|A1223900|PL|31-141|KRAKÓW|pl.Słowiański|3||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Tarnów (ID=4235587),Ulica:  (ID=12324554),Numer budynku: 12,Liczba znalezionych kodów: 0|A1354058|PL|33-100|TARNÓW|oś. Legionów|12|32|MAŁOPOLSKIE||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Tarnów (ID=4235587),Ulica:  (ID=12324554),Numer budynku: 10,Liczba znalezionych kodów: 0|A1393456|PL|33-100|TARNÓW|Os.Legionów|10|47|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Tarnów (ID=4235587),Ulica:  (ID=12324554),Numer budynku: 3,Liczba znalezionych kodów: 0|A1417326|PL|33-100|TARNÓW|Os.Legionów|3|20|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Tarnów (ID=4235587),Ulica:  (ID=12324554),Numer budynku: 10,Liczba znalezionych kodów: 0|A1427732|PL|33-100|TARNÓW|Os.Legionów|10|16|MAŁOPOLSKIE|TARNÓW|TARNÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Grabno (ID=4233039),Numer budynku: zubeck,Liczba znalezionych kodów: 0|A1436617|PL|32-830|GRABNO|Grabno|zubeck||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Tarnów (ID=4235587),Ulica:  (ID=12324554),Numer budynku: 3,Liczba znalezionych kodów: 0|A1441332|PL|33-100|TARNÓW|os.Legionów|3|114|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Zabrze (ID=4271850),Ulica:  (ID=12404924),Numer budynku: 404,Liczba znalezionych kodów: 0|A1456294|PL|41-806|ZABRZE|Al.Wolności|404||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Rybnik (ID=4269090),Ulica:  (ID=12398207),Numer budynku: 1,Liczba znalezionych kodów: 0|A1457640|PL|44-200|RYBNIK|ul.Rynek|1||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Tarnów (ID=4235587),Ulica:  (ID=12324554),Numer budynku: 6,Liczba znalezionych kodów: 0|A1470135|PL|33-100|TARNÓW|os.Legionów|6|76|MAŁOPOLSKIE|TARNÓW|TARNÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Sosnowiec (ID=4271546),Ulica:  (ID=12535913),Numer budynku: 6,Liczba znalezionych kodów: 0|A1474856|PL|41-200|SOSNOWIEC|ul.Zwycięstwa 6|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Wrocław (ID=4198223),Ulica:  (ID=12321589),Numer budynku: 34,Liczba znalezionych kodów: 0|A1475183|PL|50-951|WROCŁAW|ul.Rynek 34|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Tychy (ID=4271570),Ulica:  (ID=12405082),Numer budynku: 55,Liczba znalezionych kodów: 0|A1475740|PL|43-100|TYCHY|ul.Niepodległości 55|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Legionowo (ID=4246921),Ulica:  (ID=12465771),Numer budynku: 4,Liczba znalezionych kodów: 0|A1475934|PL|05-120|LEGIONOWO|UL.RYNEK 4|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Rybnik (ID=4269090),Ulica:  (ID=12398207),Numer budynku: 10,Liczba znalezionych kodów: 0|A1476209|PL|44-200|RYBNIK|UL.RYNEK 10|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Nowa Ruda (ID=4195683),Ulica:  (ID=12276919),Numer budynku: 16,Liczba znalezionych kodów: 0|A1476889|PL|57-400|NOWA RUDA|UL.RYNEK 16|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Wrocław (ID=4198223),Ulica:  (ID=12321589),Numer budynku: 9/11,Liczba znalezionych kodów: 0|A1477242|PL|50-950|WROCŁAW|ul.Rynek 9/11|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Wrocław (ID=4198223),Ulica:  (ID=12321589),Numer budynku: 9/11,Liczba znalezionych kodów: 0|A1477350|PL|50-950|WROCŁAW|ul.Rynek 9/11|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Płock (ID=4245427),Ulica:  (ID=12353897),Numer budynku: 8,Liczba znalezionych kodów: 0|A1478068|PL|09-400|PŁOCK|ul.Nowy Rynek 8|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Sufczyn (ID=4230296),Numer budynku: 430,Liczba znalezionych kodów: 0|A1614488|PL|32-852|Dębno|Sufczyn|430||MAŁOPOLSKIE|BRZESKI|DĘBNO
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Tarnów (ID=4235587),Ulica:  (ID=12324554),Numer budynku: 11,Liczba znalezionych kodów: 0|A1616383|PL|33-100|Tarnów|os.Legionów|11|12|MAŁOPOLSKIE|TARNOWSKI|TARNÓW
