ID|Kod|Miejscowosc|Ulica|Budynek|Lokal|Wojewodztwo|Powiat|Gmina
A1440|31-916|KRAKÓW|Oś.Ogrodowe|15|61|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
A1454|30-112|KRAKOW|Dunin-Wąsowicz|24|42|ŁÓDZKIE|WIELUŃSKI|WIERZCHLAS
A879|30-112|Krakow|Dunin-Wasowicza|24|3|ŁÓDZKIE|WIELUŃSKI|WIERZCHLAS
A953|31-514|KRAKÓW|Beliny Prażmowskiego|52|1|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
A957|30-316|KRAKÓW|Słomiana|6|78|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
A957|30-316|KRAKÓW|Slomiana|6|78|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
A1880186|38-400|KROSNO|Kletówki|54b||||
A978|32-700|BOCHNIA|Św.Leonarda|3A||MAŁOPOLSKIE|BOCHEŃSKI|BOCHNIA
A494|30-112|KRAKÓW|Dunin-Wąsowicza|26|4|ŁÓDZKIE|WIELUŃSKI|WIERZCHLAS
A536|30-718|KRAKÓW|Ks.Wincentego Turka|5|16|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
A541|31-543|KRAKÓW|FRANCESCO NULLO|13|52|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
A7782|30-108|KRAKÓW|MARCINA BORELOWSKIEGO LELEWELA|17|15|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
A1056|30-112|KRAKÓW|Rotmistrza Dunin-Wąsowicza|24|31|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
A1056|30-112|KRAKÓW|płk Dąbka|24|31|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
A1125|31-127|Kraków|Świętego Wojciecha|1|7|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
A1927021|32-002|WĘGRZCE WIELKIE|Kokotów|271||||
A1207|31-214|Kraków|Fika|19|92|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
A42|31-235|KRAKÓW|os.Witkowice Nowe|61||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
A1344787|05-507|CIECISZEW||4a||MAZOWIECKIE|PIASECZYŃSKI|PIASECZNO
A790|30-133|Kraków|J.Lea|238|18|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
A126|31-836|Krakow|Os.Jagielońskie|32|18|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
A158|31-422|Kraków|Powstańców|46|71|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
2473|30-243|KRAKÓW|Księcia Józefa|365|14|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
A2557|31-422|Kraków|Powstańców|30A|14|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
