ID|Kod|Miejscowość|Ulica|Nr domu|Nr mieszkania|Województwo|Powiat|Gmina
A1393889|37-415[37-416]|Zbydniów|ul. Powstańców Styczniowych[--------------------]|149|-------|PODKARPACKIE[]|stalowowolski[]|Zaleszany[]
A1231654|32-425[]|Trzemeśnia[TRZEMIEŚNIA 53]|pl. Wykurza[-]|53[]||MAŁOPOLSKIE[]|myślenicki[]|Myślenice[]
A1197534|33-336|Łabowa[ŁABOWA 43]|ul. Leśna[-l.]|43[]||MAŁOPOLSKIE[ŁÓDZKIE]|nowosądecki[WIELUŃSKI]|Łabowa[WIERZCHLAS]
A1853704|34-482|Lipnica Mała|[/Lipnica Mala]|4a||MAŁOPOLSKIE[]|nowotarski[]|Jabłonka[]
A1894451|32-700|Proszówki|[/proszówki]|162||MAŁOPOLSKIE[]|bocheński[]|Bochnia[]
A1617477|32-620|Brzeszcze|ul. 1 Maja[1-ego Maja]|19|2|MAŁOPOLSKIE[]|oświęcimski[]|Brzeszcze[]
A1402350|28-500|Kazimierza Wielka[KAZIMIERZ WIELKA]|ul. 1 Maja[1-go Maja 14]|14|14[]|ŚWIĘTOKRZYSKIE[]|kazimierski[]|Kazimierza Wielka[]
A1464352|37-100|Łańcut|ul. 10 Pułku Strzelców Konnych[10 Pułku Strzelców K]|13||PODKARPACKIE[]|łańcucki[]|Łańcut[]
ZA1464352|37-100|Łańcut|ul. 10 Pułku Strzelców Konnych[10 Pułku Strzelców K]|13||PODKARPACKIE|łańcucki|Łańcut
A1707613|37-100|Łańcut|ul. 10 Pułku Strzelców Konnych[10 Pułku Strzelców K]|16||PODKARPACKIE[]|łańcucki[]|Łańcut[]
A1383103|45-828|Opole|ul. 10 Sudeckiej Dywizji Zmechanizowanej[10 Sudeckiej Dywizji Zmechaniz]|4||OPOLSKIE[]|Opole[]|Opole[]
A1811897|15-111|Białystok|al. 1000-lecia Państwa Polskiego[1000-Lecia P.P.]|6||PODLASKIE[]|Białystok[]|Białystok[]
A1807018|28-200|Staszów|ul. 11 Listopada[11-ego listopada]|125||ŚWIĘTOKRZYSKIE[]|staszowski[]|Staszów[]
A1685915|06-400|Ciechanów|ul. 11 Pułku Ułanów Legionowych[11-go Pułku Ułanów L]|22|30|MAZOWIECKIE[]|ciechanowski[]|Ciechanów[]
A1309390|32-590|Libiąż|ul. 11 Listopada[11-tego listopada]|XII|46|MAŁOPOLSKIE[]|chrzanowski[]|Libiąż[]
A1614167|26-615[26-600]|Radom|ul. 11 Listopada[11-tego Listopada]|56|18|MAZOWIECKIE[]|Radom[]|Radom[]
A1704364|42-300|Myszków|ul. 11 Listopada[11-tego Listopada]|4a||ŚLĄSKIE[]|myszkowski[]|Myszków[]
A1895186|43-600|Jaworzno|ul. 11 Listopada[11-tego Listopada]|11|27|ŚLĄSKIE[]|Jaworzno[]|Jaworzno[]
A1630467|08-500|Ryki|ul. 15 Pułku Piechoty Wilków AK[15 PP wilkow AK 1]|1[]||LUBELSKIE[]|rycki[]|Ryki[]
A1440325|38-500|Sanok|ul. 2 Pułku Strzelców Podhalańskich[2 Pułk strz. pdh.]|3||PODKARPACKIE[]|sanocki[]|Sanok[]
A1441692|32-300|Olkusz|ul. 20-tu Straconych[20-Straconych]|48||MAŁOPOLSKIE[]|olkuski[]|Olkusz[]
A1432902|03-983|Warszawa|ul. 21 Pułku Piechoty Dzieci Warszawy[21 P.P.D.Warszawy]|11|19|MAZOWIECKIE|Warszawa|Warszawa[PRAGA-POŁUDNIE]
A1304282|03-983|Warszawa[WARSZAWY]|ul. 21 Pułku Piechoty Dzieci Warszawy[21P.P.Dzieci Warszawy]|11||MAZOWIECKIE[]|Warszawa[]|Warszawa[]
A-10065|22-500|Hrubieszów|ul. 27 Wołyńskiej Dywizji Piechoty AK[27 Wołyńskiej Dyw.Piech.AK]|11||LUBELSKIE[]|hrubieszowski[]|Hrubieszów[]
A1798132|61-485|Poznań|ul. 28 Czerwca 1956 r.[28 czerwca 1956]|223|229|WIELKOPOLSKIE[]|Poznań[]|Poznań[]
A1426140|61-567|Poznań|ul. 28 Czerwca 1956 r.[28 Czerwca 1956]|113||WIELKOPOLSKIE[]|Poznań[]|Poznań[]
A1755763|61-441|Poznań|ul. 28 Czerwca 1956 r.[28 Czerwca 1956]|406||WIELKOPOLSKIE[]|Poznań[]|Poznań[]
A1835719|61-441|Poznań|ul. 28 Czerwca 1956 r.[28 Czerwca 1956]|406|1.22|WIELKOPOLSKIE[]|Poznań[]|Poznań[]
A1708214|30-233|Kraków|ul. 28 Lipca 1943[28 lipca 1943 roku]|30|1|MAŁOPOLSKIE|Kraków|Kraków
A1356259|30-233[]|Kraków|ul. 28 Lipca 1943[28 lipca]|8||MAŁOPOLSKIE|Kraków|Kraków
A1273353|30-233|Kraków|ul. 28 Lipca 1943[28 lipca]|17a||MAŁOPOLSKIE|Kraków|Kraków
A1360476|30-233|Kraków|ul. 28 Lipca 1943[28 Lipca]|22||MAŁOPOLSKIE|Kraków|Kraków
A1831096|30-233|Kraków|ul. 28 Lipca 1943[28 Lipca]|1943||MAŁOPOLSKIE|Kraków|Kraków
A1466409|32-050|Skawina|ul. 29 Listopada[29-ego listopada]|12|3|MAŁOPOLSKIE[]|krakowski[]|Skawina[]
ZA1466409|32-050|Skawina|ul. 29 Listopada[29-ego listopada]|12|3|MAŁOPOLSKIE|krakowski|Skawina
A1709275|31-401|Kraków|al. 29 Listopada[29-ego Listopada]|32a|22|MAŁOPOLSKIE|Kraków|Kraków
A1915762|81-661|Gdynia|ul. 2 Morskiego Pułku Strzelców[2MPS]|5|29|POMORSKIE[]|Gdynia[]|Gdynia[]
A1876371|44-230|Czerwionka-Leszczyny|ul. 3 Maja[3 Maja 12A]|12A[IV]|IV/14[14]|ŚLĄSKIE[]|rybnicki[]|Czerwionka-Leszczyny[]
A1929353|36-200|Brzozów|ul. 3 Maja[3-maja Maja]|70||PODKARPACKIE[]|brzozowski[]|Brzozów[]
A1396053|32-060|Liszki|[3iszki]|49||MAŁOPOLSKIE[]|krakowski[]|Liszki[]
A1294366|32-400|Myślenice|ul. 3-ego Maja[3Maja]|126b||MAŁOPOLSKIE[]|myślenicki[]|Myślenice[]
A1633161|32-400|Myślenice|ul. 3-ego Maja[3Maja]|16A||MAŁOPOLSKIE[]|myślenicki[]|Myślenice[]
A1683904|24-100|Puławy|ul. 4 Pułku Piechoty Wojska Polskiego[4. Pułku Piechoty WP]|8A||LUBELSKIE[]|puławski[]|Puławy[]
A1351071|32-353|Jangrot[TRZYCIĄŻ]|[61ngrot]|42||MAŁOPOLSKIE|olkuski[]|Trzyciąż[]
A1631538|77-400|Złotów|ul. 8 Marca[8-ego Marca]|3d||WIELKOPOLSKIE[]|złotowski[]|Złotów[]
A1735226|32-086|Węgrzce|ul. A2[A-2]|1||MAŁOPOLSKIE[]|krakowski[]|Zielonki[]
A1828696|32-086|Węgrzce|ul. A5[A-5]|24||MAŁOPOLSKIE[]|krakowski[]|Zielonki[]
A1442064|32-086|Węgrzce|ul. A8[a-8]|6||MAŁOPOLSKIE[]|krakowski[]|Zielonki[]
A1647760|31-120[30-059]|Kraków|al. Mickiewicza[A.Mickiewicza 30 Paw. A-0]|235||MAŁOPOLSKIE|Kraków|Kraków
A1655862|32-086|Węgrzce|ul. A6[A6 1]|1|1[]|MAŁOPOLSKIE[]|krakowski[]|Zielonki[]
A1842624|05-650|Adamów Rososki[CHYNÓW]|[Adamów Rosowski]|18c||MAZOWIECKIE[]|grójecki[]|Chynów[]
A1705383|02-777|Warszawa|al. Komisji Edukacji Narodowej[al KEN]|90|5|MAZOWIECKIE[]|Warszawa[]|Warszawa[]
A1415656|38-500|Sanok|al. Prugara-Ketlinga[Al Prugara Ketlinga]|8|34|PODKARPACKIE[]|sanocki[]|Sanok[]
A1937852|15-111|Białystok|al. 1000-lecia Państwa Polskiego[Al. 1000-lecia P.P.]|10A|15|PODLASKIE[]|Białystok[]|Białystok[]
A1401209|76-200|Słupsk|al. 3 Maja[Al. 3 Ma]|3|19/1|POMORSKIE[]|Słupsk[]|Słupsk[]
A1312053|39-300|Mielec|al. Ducha Świętego[al. Ducha Św.]|26|35|PODKARPACKIE|mielecki|Mielec
A1368116|39-300|Mielec|al. Ducha Świętego[AL. DUCHA ŚW.]|36|14|PODKARPACKIE|mielecki[]|Mielec[]
A1961881|02-797|Warszawa|al. Komisji Edukacji Narodowej[al. KEN]|47|232|MAZOWIECKIE[]|Warszawa[]|Warszawa[]
A1335534|02-797|Warszawa|al. Komisji Edukacji Narodowej[Al. KEN]|57|79|MAZOWIECKIE|Warszawa|Warszawa[URSYNÓW]
A1988553|43-100[43-110]|Tychy|ul. Józefa[al. Marszałka Józefa Piłsudzki]|63A|22|ŚLĄSKIE[]|Tychy[]|Tychy[]
A1768150|31-120[30-059]|Kraków|al. Mickiewicza[Al. mickiewicz 35]|35|35/12[12]|MAŁOPOLSKIE|Kraków|Kraków
A1232961|30-059|Kraków|al. Mickiewicza[al. Mickiewicza 30]|30[paw.A-1]|paw.A-1/pok. 18[pok. 18]|MAŁOPOLSKIE|Kraków|Kraków
A1381781|42-202[42-200]|Częstochowa|al. Panny[Al. NMP]|2||ŚLĄSKIE[]|Częstochowa[]|Częstochowa[]
A1892122|85-796|Bydgoszcz|al. Kaliskiego[al. prof.S. Kaliskiego]|7||KUJAWSKO-POMORSKIE[]|Bydgoszcz[]|Bydgoszcz[]
A1988516|38-500|Sanok|al. Prugara-Ketlinga|16|23|PODKARPACKIE[]|sanocki[]|Sanok[]
A1413566|38-500|Sanok|al. Prugara-Ketlinga|8|34|PODKARPACKIE[]|sanocki[]|Sanok[]
A1717803|20-043|Lublin|al. Racławickie|40|10|LUBELSKIE|Lublin|Lublin
A1430188|25-314|Kielce|al. Tysiąclecia Państwa Polskiego[al. Tysiąclecia Państwa Polski]|7B||ŚWIĘTOKRZYSKIE[]|Kielce[]|Kielce[]
A1940290|22-100|Chełm|al. Żołnierzy I Armii Wojska Polskiego[al. Żołnierzy I Armii Wojska P]|19|101|LUBELSKIE[]|Chełm[]|Chełm[]
A1348773|39-300|Mielec|al. Ducha Świętego[Al.. Ducha Św,]|25|15|PODKARPACKIE[]|mielecki[]|Mielec[]
A1348770|39-300|Mielec|al. Ducha Świętego[Al.. Ducha Św.]|38|3|PODKARPACKIE[]|mielecki[]|Mielec[]
A1375619|87-100|Toruń|al. 500-lecia Torunia[al.500-le]|00-l31||KUJAWSKO-POMORSKIE[]|Toruń[]|Toruń[]
A1363955|42-218[42-201]|Częstochowa|al. Armii Krajowej[al.A.Krajowej 19]|19[]||ŚLĄSKIE[]|Częstochowa[]|Częstochowa[]
A1404182|21-040|Świdnik|al. Armii Krajowej[al.A.Krajowej]|31|1|LUBELSKIE[]|świdnicki[]|Świdnik[]
A1245485|42-218[42-200]|Częstochowa|al. Armii Krajowej[Al.A.Krajowej]|19||ŚLĄSKIE[]|Częstochowa[]|Częstochowa[]
A1275196|38-500|Sanok|ul. Armii Krajowej[Al.Armii Kr.]|13|14|PODKARPACKIE|sanocki|Sanok
A1808489|31-514|Kraków|al. Beliny-Prażmowskiego[Al.Beliny Prażmomowskiego]|13A|2|MAŁOPOLSKIE|Kraków|Kraków
A1863349|39-300|Mielec|al. Ducha Świętego[al.Ducha Św.]|26|33|PODKARPACKIE[]|mielecki[]|Mielec[]
A1353364|39-300|Mielec|al. Ducha Świętego[Al.Ducha Św.]|17|46|PODKARPACKIE[]|mielecki[]|Mielec[]
A1419956|39-300|Mielec|al. Ducha Świętego[Al.Ducha Św.]|4|9|PODKARPACKIE[]|mielecki[]|Mielec[]
A1647369|39-300|Mielec|al. Ducha Świętego[Al.Ducha Św.]|25|4|PODKARPACKIE|mielecki|Mielec
A1633187|38-500|Sanok|al. Prugara-Ketlinga[Al.Gen.B.Prugara-Ketlinga]|6|26|PODKARPACKIE[]|sanocki[]|Sanok[]
A1426858|41-303|Dąbrowa Górnicza|al. Piłsudskiego[Al.J.Piułsudskiego]|36|44|ŚLĄSKIE|Dąbrowa Górnicza|Dąbrowa Górnicza
A1950250|31-982|Kraków|al. Jana Pawła II[al.JP II]|154||MAŁOPOLSKIE|Kraków|Kraków
A32543|53-125|Wrocław|al. Kasztanowa[al.Kasztanowa 18/20]|18/20[18]|18/20[20]|DOLNOŚLĄSKIE[ŁÓDZKIE]|Wrocław[WIELUŃSKI]|Wrocław[WIERZCHLAS]
A1450025|02-777|Warszawa|al. Komisji Edukacji Narodowej[Al.KEN]|86|12|MAZOWIECKIE[]|Warszawa[]|Warszawa[]
